I will be less present on Facebook. As long as the canon 1172 remains in force I can not prove anything and the things that I public on social media they copy it. But I have another way to get around the obstacle even if it will trigge the hell ... https://t.co/r4ANAkyEle … https://t.co/eZWtry3WZj
@BeeEasyxxx PASS WORD https://t.co/Ss7P5LFjrg https://t.co/EhstKmT3v5
@mysexykiaramia PASS WORD https://t.co/Ss7P5LFjrg https://t.co/VpvhznWrow
@RICHELLERYAN PASS WORD https://t.co/Ss7P5LFjrg https://t.co/WGueiPNRUR
Italians are "cultured" and they make a mockery of God (it is a belief for ignorant). If you are different but you have difficulty to believe at my words	at least try out to believe those of Jesus because is this the moment	https://t.co/r4ANAkQfcM https://t.co/ne4h9hOSqV
I am St. George (the real one). I'm serious.I did not invent it. I have been told by whom you do not know. I was born in Italy but I have nothing to do with these people. NOTHING
Every sin has its own degree of death. These are the most serious (those that cause the greatest loss of energy of the life and deformation of the soul): to kill, to blaspheme , to have sexual relations outside religious marriage, to practice auterotism, to lie, to steal. https://t.co/9mV2SUcmGc
Ogni peccato ha un suo preciso grado di morte. Ecco i più gravi (quelli che causano la maggior perdita di energia e deformazione dell'anima): uccidere, bestemmiare, avere rapporti sessuali fuori dal matrimonio religioso, praticare l'auterotismo, mentire,  rubare. https://t.co/tSrHnQW4uJ
Who trust in God can not serve the devil.	Who uses my prayer can not use weapons https://t.co/w3klpkrXrD
chi confida in Dio non può servire il demonio 	chi usa la mia preghiera non può usare le armi https://t.co/2g57Atq5UX
What sense does pray for the carnivores? Find the explanation on facebook. Read it is very important. https://t.co/r4ANAkyEle https://t.co/hoEEEhCBKl
Che senso ha pregare per i carnivori? Trovate la spiegazione su Facebook. Leggetela perchè è importante.  https://t.co/r4ANAkyEle https://t.co/XNTPC066as
Now listen to me well. I never joke about these things because every knowledge I conquered with prayer and paid with tribulations and sufferings. My prayer can stop wars, overthrow governments, heal any illness... https://t.co/YzL4wQSYRP
Adesso ascoltatemi bene. Io non scherzo mai su queste cose perché ogni conoscenza l'ho conquistata con la preghiera e pagata con tribolazioni e sofferenze. La mia preghiera può fermare guerre, rovesciare... https://t.co/xfSGz5Vsb4
https://t.co/c2tNQCIQey https://t.co/c2tNQCIQey
@tsuda INTERNATIONAL - Delete the canon 1172. You will know the Truth about the collapse of the Twin Towers and I will put end to this Church old, false and corrupt. 	https://t.co/r4ANAkyEle https://t.co/pWiLPGvDpY
@inosenaoki INTERNATIONAL - Delete the canon 1172. You will know the Truth about the collapse of the Twin Towers and I will put end to this Church old, false and corrupt. 	https://t.co/r4ANAkyEle https://t.co/KXmabWA8Y7
@ecoyuri INTERNATIONAL - Delete the canon 1172. You will know the Truth about the collapse of the Twin Towers and I will put end to this Church old, false and corrupt. 	https://t.co/r4ANAkyEle https://t.co/PrGcf4HfZs
@ichita_y INTERNATIONAL - Delete the canon 1172. You will know the Truth about the collapse of the Twin Towers and I will put end to this Church old, false and corrupt. 	https://t.co/r4ANAkyEle https://t.co/0EDqssHfcI
