Tarantula spotted eating an opossum in first-ever video recording	https://t.co/Pj7yifDgcI https://t.co/G1Bo8rMTO6
Innovative attachment allows people in wheelchairs to safely navigate icy paths	https://t.co/RO7sv9yNXe https://t.co/I8krLKgE0V
Magnetic fishing rod roof rack makes traveling with rods easy	https://t.co/Y3ZgmTfdND https://t.co/e4lfKNGssn
This is how your favorite college meal is made 🍜	https://t.co/0grwuUXQ4O https://t.co/LyenCNHeHA
This robot can make burgers in 5 minutes––and only costs $6 🍔🤖 	https://t.co/kvP2uwDSgM https://t.co/MfUeNtEbFZ
The 'Rolling Bridge' stretches across a canal in London	https://t.co/8OxhdNyeJM https://t.co/rklcU39jvv
Portable dryer dries 22 pounds of clothes in just three minutes	https://t.co/klfARe6jyH https://t.co/kRLVsX5HlB
@cthagod tells us his thoughts on social media-induced anxiety 	https://t.co/uE1Z04nr5X https://t.co/agalAak1Hq
Guac-Lock protects guacamole from browning🥑😱	https://t.co/y46HBpjatE https://t.co/GX3PFpDkb2
Hair color-changing app lets you try out different looks	https://t.co/NJB2jlSzH9 https://t.co/WP57zQfF6D
Power cleaner blasts the toughest grime and fits right in your hand	https://t.co/OmHOwJ7NeA https://t.co/d43QlvcYoN
Plastic bottles are lighting up peoples homes 	https://t.co/Z46jv8OLEl https://t.co/YPkBOPjwuY
Watch how this artist transforms Pokémon cards into colorful canvases 😮	https://t.co/EbPiIOE7im https://t.co/bCDebzSwvq
This deaf actor is starting a movement to add captions to all screens	https://t.co/yxUfXHeMpE https://t.co/726P3szPom
These robot bartenders can make cocktails in just one minute	https://t.co/r4CxeyqVYx https://t.co/AFfO2PEbJm
Kim Jong-un is in Vietnam to meet with President Trump––and so are his jogging bodyguards	https://t.co/Nl9aMxJxR7 https://t.co/Sude38fMME
These are America’s top 5 wealthiest celebs	https://t.co/UlSvUl2OSp https://t.co/DaeXUzIWu6
She’s the world’s first elephant to wear a prosthetic leg 💕	https://t.co/PEyv0PrEJ7 https://t.co/u86TwsetVY
These colorful Korean tattoos will make you do a double take 👀💉	https://t.co/0PMTDqORok https://t.co/ZnuqKe75RI
How blooming onions are made	https://t.co/EsDVroCS4N https://t.co/Z3pCkCwfsM
